,id,area,sq_mt_built,n_rooms,address,street_name,rent_price,buy_price,built_year,has_parking
0,21742,"San Cristóbal, Madrid",64.0,2,"Piso en venta en calle de Godella, 64",Calle de Godella,471,85000,1960.0,False
1,21741,"Los Ángeles, Madrid",70.0,3,Piso en venta en calle de la del Manojo de Rosas,Calle de la del Manojo de Rosas,666,129900,,False
2,21740,"San Andrés, Madrid",94.0,2,"Piso en venta en calle del Talco, 68",Calle del Talco,722,144247,,False
3,21739,"San Andrés, Madrid",64.0,2,Piso en venta en calle Pedro Jiménez,Calle Pedro Jiménez,583,109900,1955.0,False
4,21738,"Los Rosales, Madrid",108.0,2,Piso en venta en carretera de Villaverde a Vallecas,Carretera de Villaverde a Vallecas,1094,260000,2003.0,True
5,21737,"San Andrés, Madrid",126.0,4,Piso en venta en geologia,geologia,901,195000,1981.0,True
6,21736,"San Andrés, Madrid",120.0,5,Piso en venta en avenida Real de Pinto,Avenida Real de Pinto,884,190000,,True
7,21735,"Villaverde, Madrid",125.0,3,Piso en venta en San Andrés,,912,198500,,False
8,21734,"Villaverde, Madrid",84.0,3,Piso en venta en Butarque,,954,212000,,True
9,21733,"Los Rosales, Madrid",85.0,2,Piso en venta en calle de Martinez Oviol,Calle de Martinez Oviol,672,131400,1950.0,False
10,21732,"San Andrés, Madrid",69.0,2,Piso en venta en De la Plata - Villaverde,De la Plata - Villaverde,617,118000,1963.0,False
11,21731,"Villaverde, Madrid",122.0,3,Piso en venta en Butarque,,1058,246900,,True
12,21730,"Los Rosales, Madrid",123.0,3,"Piso en venta en calle de la Unanimidad, 67",Calle de la Unanimidad,901,195000,1992.0,False
13,21729,"Los Ángeles, Madrid",109.0,3,"Piso en venta en calle de Anoeta, 63",Calle de Anoeta,933,205000,1983.0,False
14,21728,"San Cristóbal, Madrid",64.0,3,Piso en venta en calle GODELLA,Calle GODELLA,408,72000,1960.0,False
15,21727,"Los Rosales, Madrid",115.0,3,Piso en venta en calle San Macario,Calle San Macario,780,160000,,False
16,21726,"Villaverde, Madrid",115.0,3,Piso en venta en Los Rosales,,867,184900,,False
17,21725,"Villaverde, Madrid",65.0,3,Piso en venta en Los Ángeles,,494,90000,,False
18,21724,"Villaverde, Madrid",75.0,3,Piso en venta en San Andrés,,666,129900,,False
19,21723,"Villaverde, Madrid",60.0,2,Piso en venta en San Cristóbal,,516,94900,,False
20,21722,"Villaverde, Madrid",60.0,2,Piso en venta en San Andrés,,493,89900,,False
21,21721,"Villaverde, Madrid",95.0,4,Piso en venta en Los Ángeles,,724,144900,,False
22,21720,"Villaverde, Madrid",76.0,3,Piso en venta en San Andrés,,583,110000,,False
23,21719,"San Andrés, Madrid",51.0,2,Piso en venta en camino Leganés,Camino Leganés,508,93000,,False
24,21718,"San Andrés, Madrid",134.0,3,Piso en venta en calle de las Islas,Calle de las Islas,666,130000,,False
25,21717,"San Andrés, Madrid",62.0,2,Piso en venta en calle de Parvillas Bajas,Calle de Parvillas Bajas,557,104000,,False
26,21716,"San Andrés, Madrid",75.0,3,Piso en venta en COBALTO s/n,,698,138000,1984.0,True
27,21715,"Villaverde, Madrid",112.0,4,Piso en venta en Butarque,,1148,280000,,True
28,21714,"Los Rosales, Madrid",65.0,3,Piso en venta en calle Villajoyosa,Calle Villajoyosa,744,150000,1976.0,False
29,21713,"San Andrés, Madrid",70.0,2,Piso en venta en paseo de Alberto Palacios,Paseo de Alberto Palacios,728,145900,1968.0,False
30,21712,"San Andrés, Madrid",75.0,1,Piso en venta en calle Laguna del Marquesado,Calle Laguna del Marquesado,505,92500,2008.0,False
31,21711,"Los Rosales, Madrid",123.0,3,Piso en venta en carretera de Villaverde a Vallecas,Carretera de Villaverde a Vallecas,1195,298000,2002.0,True
32,21710,"San Andrés, Madrid",61.0,3,Piso en venta en camino Leganés,Camino Leganés,539,99900,,False
33,21709,"Villaverde, Madrid",72.0,2,Piso en venta en San Andrés,,698,138000,,True
34,21708,"Butarque, Madrid",61.0,3,"Piso en venta en Concepción de la Oliva, 21",Concepción de la Oliva,539,100000,1966.0,False
35,21707,"San Andrés, Madrid",71.0,3,Piso en venta en San Neviano - Villaverde,San Neviano - Villaverde,672,131400,1980.0,False
36,21706,"Villaverde, Madrid",87.0,3,Piso en venta en Los Rosales,,521,96000,,False
37,21705,"San Andrés, Madrid",60.0,2,Piso en venta en paseo de Alberto Palacios,Paseo de Alberto Palacios,758,154000,,False
38,21704,"Los Ángeles, Madrid",78.0,4,Piso en venta en calle la Dolorosa,Calle la Dolorosa,731,146700,,False
39,21703,"Los Rosales, Madrid",52.0,1,Piso en venta en calle Encarnación Oviol,Calle Encarnación Oviol,505,92500,,False
40,21702,"Butarque, Madrid",125.0,3,Dúplex en venta en calle ESTEFANITA,Calle ESTEFANITA,1135,275000,2004.0,False
41,21701,"San Andrés, Madrid",75.0,0,Estudio en venta en calle Laguna del Marquesado,Calle Laguna del Marquesado,465,83800,2008.0,False
42,21700,"Butarque, Madrid",97.0,2,"Piso en venta en calle Arroyo de la Bulera, 31",Calle Arroyo de la Bulera,1111,266122,,False
43,21699,"Butarque, Madrid",93.0,2,"Piso en venta en calle Arroyo de la Bulera, 31",Calle Arroyo de la Bulera,1004,228273,,False
44,21698,"Los Ángeles, Madrid",103.0,4,Piso en venta en calle de la del Manojo de Rosas,Calle de la del Manojo de Rosas,823,171900,,False
45,21697,"Butarque, Madrid",83.0,2,Ático en venta en Villaverde a perales,Villaverde a perales,1004,228273,2020.0,True
46,21696,"Los Rosales, Madrid",45.0,2,Piso en venta en calle de Juan José Martínez Seco,Calle de Juan José Martínez Seco,471,85000,1968.0,False
